id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
T_drums_60s_custom,tones,audit-output/synthetic/drums_60s.wav,,-1.0,-21.547447204589844,-21.54744717062731,-21.6,-1.103610634803772,-1.1036179826905943,-0.8,0.10037172585725784,0.10303617898248518,-0.1036179826905943,,3.3962532342002305e-08,-7.347886822328675e-06,0.0026644531252273396,21.76148398548758,20.35937391961636,13.332026998867004,1.0,,0,0,0.130057692527771,44100,FLOAT,True,0.0,,['dynamic_range_low'],-23.04668617248535,-2.48744535446167,0.10037172585725784,9a5f152cf1956beac27796753f5cfcb9e0c5e53ff585627e812c02000cd36bcb,
T_drums_60s_loud,tones,audit-output/synthetic/drums_60s.wav,,-1.0,-12.12463092803955,-12.124630826387078,-12.1,-1.0984084606170654,-0.834557883706712,0.2,0.17414163053035736,0.17680518615068408,0.16544211629328798,,1.0165247310567338e-07,0.2638505769103534,0.0026635556203267186,13.757238409765126,11.174342904678626,9.374636920077263,0.9999999999999999,,0,4,1.0861535668373108,44100,FLOAT,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-23.04668617248535,-2.48744535446167,0.10037172585725784,f59898893b0d44343e85f58573370c1b7ec02fbf64d0bd1d7fbe981f8718feb0,
T_drums_60s_universal,tones,audit-output/synthetic/drums_60s.wav,,-1.0,-16.779544830322266,-16.779544896334503,-16.8,-1.1036088466644287,-0.9531319246490494,-0.1,0.23983393609523773,0.2434572932627077,0.04686807535095061,,-6.60122374540606e-08,0.15047692201537932,0.003623357167469976,17.862730260764142,15.63028035534684,14.023675947896377,0.9999999999999999,,0,80,1.1033869981765747,44100,FLOAT,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-23.04668617248535,-2.48744535446167,0.10037172585725784,39847843bb20cf6b55f96b2ef19d44e170588e83ecf077b1813488fd4afd8cad,
T_imd_smpte_-6_custom,tones,audit-output/synthetic/imd_smpte_-6.wav,,-1.0,-8.857161521911621,-8.857161271148813,-8.9,-4.495759010314941,-4.500606661051937,-4.5,1.616484723854228e-11,1.2896350654045818e-12,-3.500606661051937,,2.5076280785185645e-07,-0.004847650736995668,-1.4875212173137697e-11,4.679701674131511,4.3557777571907,0.0,1.0,,0,0,0.09438323974609375,44100,FLOAT,True,0.0,,['dynamic_range_low'],-10.357160568237305,-5.995758056640625,9.72200098203757e-12,317d504c9f9a2c0d02717d24d8bfe2abf5a86da16a33dc29f90e585bfdf5c736,
T_imd_smpte_-6_loud,tones,audit-output/synthetic/imd_smpte_-6.wav,,-1.0,-4.450738430023193,-4.45073827242414,-4.5,-1.1034371852874756,-1.1036173948292176,-1.1,9.673067324911244e-06,6.864598958600254e-06,-0.10361739482921761,,1.5759905291901077e-07,-0.00018020954174202686,-2.80846836631099e-06,4.304874673197418,3.3462267552114304,0.0002233952504724357,1.0,,0,11,0.6351802200078964,44100,FLOAT,True,0.0,,"['lufs_very_loud', 'dynamic_range_low', 'comp_density_on_compressed_source']",-10.357160568237305,-5.995758056640625,9.72200098203757e-12,41f7385a3c4a389e6f091dce2e39585023660ff9da6d44a6bc37ad508614a366,
T_imd_smpte_-6_universal,tones,audit-output/synthetic/imd_smpte_-6.wav,,-1.0,-6.170234680175781,-6.170234497744459,-6.2,-1.8585176467895508,-1.8585249803360628,-1.9,1.0781050150399096e-05,1.3422967198195579e-05,-0.8585249803360628,,1.8243132249295968e-07,-7.333546512056088e-06,2.6419170477964826e-06,4.677740624432721,4.310323564436807,0.00041160940308238025,0.9999999999999999,,0,36,0.5345125943422318,44100,FLOAT,True,0.0,,"['lufs_very_loud', 'dynamic_range_low', 'comp_density_on_compressed_source']",-10.357160568237305,-5.995758056640625,9.72200098203757e-12,ee9a895ead70b1eebd81af9977a8dd56173e158493c49e72ada717380fabce8f,
T_noise_-60_custom,tones,audit-output/synthetic/noise_-60.wav,,-1.0,-57.66364669799805,-57.663648528742186,-57.7,-44.60887145996094,-44.60887697249391,-44.6,0.08902102708816528,0.09943955541862692,-43.60887697249391,,-1.8307441393972113e-06,-5.51253297231824e-06,0.01041852833046164,13.89113063650909,12.980141175235055,5.413274590577004,1.0,,0,0,0.0009329812601208687,44100,FLOAT,True,0.0,,['dynamic_range_low'],-59.16364669799805,-46.10886764526367,0.08902101963758469,2cab12a4034f29159cd5fb4ebd0de5ba6fe9d875d096924d55c86f851a7135b3,
T_noise_-60_loud,tones,audit-output/synthetic/noise_-60.wav,,-1.0,-46.84879684448242,-46.84879606617167,-46.9,-36.2369384765625,-36.24465304822438,-36.2,0.08104673027992249,0.08013857563442173,-35.24465304822438,,7.783107491832197e-07,-0.007714571661878722,-0.0009081546455007583,15.007115125840912,10.543281478696926,0.8767270206801356,1.0,,0,4,0.014381304907146841,44100,FLOAT,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-59.16364669799805,-46.10886764526367,0.08902101963758469,5999b7dfa019485bf2ca4a9f1f9fd43ecf03ddb25db27ca010aa2bbeedcb68ec,
T_noise_-60_universal,tones,audit-output/synthetic/noise_-60.wav,,-1.0,-53.19953155517578,-53.199530782937245,-53.2,-42.413291931152344,-42.44049487558673,-42.4,0.07869507372379303,0.08607875136873844,-41.44049487558673,,7.722385362285422e-07,-0.027202944434385756,0.007383677644945408,14.930328474674184,10.695078448622809,1.0213309111355997,1.0,,0,4,0.007265664171427488,44100,FLOAT,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-59.16364669799805,-46.10886764526367,0.08902101963758469,a027875c09f121751432b2feb19562eec92fd42fc49ba320eb7d793506829e3b,
T_pink_-20_60s_custom,tones,audit-output/synthetic/pink_-20_60s.wav,,-1.0,-18.000703811645508,-18.000703184194915,-18.0,-4.136710166931152,-4.1367174686733605,-4.1,0.09504277259111404,0.09337800072618307,-3.1367174686733605,,6.274505928161034e-07,-7.3017422081989025e-06,-0.0016647718649309695,14.408799533759524,13.78644255892598,6.142711768716417,0.8957237861956512,-12.68692755843393,0,0,0.09851014614105225,44100,FLOAT,True,0.0,,['dynamic_range_low'],-19.500703811645508,-5.636710166931152,0.09504277259111404,f22d53ee8147cb80673d4fe16e7601f0e1803887e8cabc099c0feda6f83e50eb,
