id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
R12_burst1k_0dBFS,R12,audit-output/synthetic/burst1k_0dBFS.wav,-14.0,-1.0,-13.999999046325684,-13.99999949828602,-14.0,-2.9297847747802734,-2.932208794819929,-2.9,1.0406438377685845e-06,1.0406460422274222e-06,-1.9322087948199291,5.017139805829629e-07,-4.519603358232871e-07,-0.0024240200396556943,2.204458837695711e-12,15.088294809875743,12.035725230731092,88.13209768927429,0.9999999999997751,-129.49493198004052,1,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-13.291473388671875,-0.00564808351919055,0.0,5559c01c0ccdfb460b5f9fdabde5e61598e23c0247038acb77008d150a44eaef,
R12_clip_2p5s,R12,audit-output/synthetic/clip_2p5s.wav,-14.0,-1.0,-14.0,-13.999999583908268,-14.0,-8.506027221679688,-8.451337326254086,-8.3,0.0,0.0,-7.451337326254086,4.16091731736401e-07,4.16091731736401e-07,0.054689895425601875,0.0,9.533274326763618,,0.8917354548632659,0.9999999999997754,-129.46812652855286,1,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-10.131994247436523,1.3978784084320068,0.0,b2212ee8f272cefc2616ab6ef797c462822d3f42ab1eae3227c3cd972099ef5f,
R12_clip_50ms,R12,audit-output/synthetic/clip_50ms.wav,-14.0,-1.0,-70.0,-inf,-70.0,-0.7765256762504578,-0.7695906032058744,-0.6,0.0,0.0,0.23040939679412564,,,0.006935073044583406,0.0,8.278827418034874,,0.0,0.999999999999972,-138.50921855403192,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-70.0,-1.0512831211090088,0.0,9cd31b3a31af6e3895f7bef718b37138a1eb205a2637cfdb1eeca412ef873755,
R12_drums_+6dB_overfs,R12,audit-output/variants/drums_+6dB_overfs.wav,-14.0,-1.0,-14.528922080993652,-14.528922092980784,-14.5,-0.9999985694885254,-1.0000059016476683,-0.9,0.1507861316204071,0.17609378204039672,-5.901647668338228e-06,-0.5289220929807836,-1.1987131287582997e-08,-7.332159142947603e-06,0.025307650419989614,15.447922219199675,13.415488023438643,11.9027005801683,0.9999999999998326,-131.05977447219618,1,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-17.04668617248535,3.512554407119751,0.10037172585725784,f0ce5587ca1d8904172d89ae27e2563c6438af06ef2244c15cff6662d4ad1025,
R12_drums_cd,R12,audit-output/synthetic/drums_60s.wav,-14.0,-1.0,-16.675935745239258,-16.675935662033645,-16.7,-0.9997162222862244,-0.8493513128177286,-0.0,0.23983649909496307,0.243464136087578,0.15064868718227142,-2.6759356620336447,8.320561306618401e-08,0.1503649094684958,0.0036276369926149243,17.86287637191016,15.630445931843596,14.023671112286426,0.9999999820782706,-80.47649806180519,0,80,1.1134335398674011,44100,PCM_16,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-23.04668617248535,-2.48744535446167,0.10037172585725784,84ff2a552fbdc6038d288ba811d04ddced92ae0cd192c0426f86669cc20fe48d,
R12_drums_loud_loudrock,R12,audit-output/synthetic/drums_60s.wav,-10.5,-1.0,-12.67512321472168,-12.675123495691551,-12.7,-0.9999985694885254,-1.0000059016476683,-0.7,0.1329999566078186,0.14106065039067772,-5.901647668338228e-06,-2.175123495691551,-2.8096987136905227e-07,-7.332159142947603e-06,0.008060693782859119,14.745393724006886,11.570343863624117,7.889661599557602,0.9999999999998682,-131.76420171387912,1,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-23.04668617248535,-2.48744535446167,0.10037172585725784,16fdae7f6c9cd070718ed87e0d1ea967c9666165ea092354d2d042485ff8d977,
R12_input04_6ch,R12,audit-output/variants/input04_6ch.wav,-14.0,-1.0,-13.999999046325684,-13.999998980381006,-14.0,-1.1185646057128906,-1.1185719332135586,-1.1,8.144354820251465,8.162413391503959,-0.11857193321355863,1.0196189936806377e-06,6.594467727438769e-08,-7.327500668008469e-06,0.018058571252494104,14.594430128299031,10.7312486426486,27.143534501032008,0.9441786925161314,-15.41837356638067,0,,,48000,PCM_24,True,0.0,,['export_ok'],-19.954668045043945,-4.031076431274414,8.340232849121094,00910287bf28f1b5cef31de9edeb3c5ccc0e34a47f77aeca338bacac5d6fc2b3,
R12_input04_mono,R12,audit-output/variants/input04_mono.wav,-14.0,-1.0,-14.895655632019043,-14.895655163711192,-14.9,-0.9999997019767761,-0.9890879501521757,-0.6,7.5600128173828125,7.568445431783534,0.010912049847824346,-0.8956551637111918,4.683078511646954e-07,0.010911751824600469,0.008432614400721405,12.708571858531604,11.654154246095414,23.954201166096908,,,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached']",-19.047592163085938,0.0818948820233345,8.34946346282959,bb8ee4e347d87bf0eea35176376a0c76df0d6dba40c5ae2f28227ded83170d87,
R12_isp_+3dBTP,R12,audit-output/synthetic/isp_+3dBTP.wav,-14.0,-1.0,-14.0,-13.999999729720235,-14.0,-17.324172973632812,-17.32413390754696,-17.3,0.0079279076308012,1.0678684667198013e-05,-16.32413390754696,2.7027976479132576e-07,2.7027976479132576e-07,3.906608585424465e-05,-0.007917228946134003,3.0422639955046833,-3.3261915968772726,1.7518744087396954e-05,0.9999999999996197,-127.16365958875937,1,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",3.34513258934021,-0.04145731031894684,0.009653517976403236,d2a5757678b9381b4e350d677e8964795d37e8bb59834275c6ff2e7bfe7e2bf1,
R12_noise_-60,R12,audit-output/synthetic/noise_-60.wav,-14.0,-1.0,-13.99999713897705,-13.999997380133188,-14.0,-3.327923059463501,-3.3100234207436263,-3.3,0.07921958714723587,0.08647882794605444,-2.3100234207436263,2.619866812381133e-06,-2.4115613683761694e-07,0.017899638719874655,0.007259240798818567,14.493373114001535,10.626081179654165,1.0256503973315212,0.9999999999997663,-129.3437530900475,1,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-59.16364669799805,-46.10886764526367,0.08902101963758469,53bd36741b3709e2b0fc63a773dc283a9e31ce1b0ac81d62905b00d9e7230579,
