id,group,input,target_lufs,ceiling_dbtp,receipt_lufs,ind_lufs,ff_I,receipt_tp,ind_tp,ff_Peak,receipt_lra,ind_lra,A1_tp_excess_db,A2_lufs_err,A3_lufs_diff,A3_tp_diff,A3_lra_diff,crest_db,psr_db,p95_p10_db,corr,side_mid_db,length_delta_frames,lag_samples,max_abs_diff_vs_ref,ind_sr,ind_subtype,ind_finite,clipped_run_fraction,repeat_identical,checks,src_lufs,src_tp,src_lra,sha256,error
S_prof_input06_broadcast-eu,profile,fixtures/inputs/input06.wav,-23.0,-1.0,-23.0,-23.000000204441204,-23.0,-7.653052806854248,-7.657027251209254,-7.7,3.1276590824127197,3.102876188266375,-6.657027251209254,-2.0444120352181017e-07,-2.0444120352181017e-07,-0.003974444355005602,-0.024782894146344603,17.721362799807547,13.411911926345724,8.137056249453881,0.7694567669241882,-8.837507923100134,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,2bee48c78ec0e26f29330f2bca5d10790e67e0630fb4d7c4b80b432eda69245f,
S_prof_input06_broadcast-us,profile,fixtures/inputs/input06.wav,-24.0,-2.0,-24.0,-24.000000373918756,-24.0,-9.381416320800781,-9.385286198762454,-9.4,3.1270885467529297,3.102305633885127,-7.385286198762454,-3.7391875551406883e-07,-3.7391875551406883e-07,-0.0038698779616730405,-0.024782912867802764,16.98800219668662,12.683166543736899,8.136494650698967,0.769441378733811,-8.837189675469109,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,fbb43b8c32d5345a6c0ba53aed26b83b80b6cc1b9141a0894e386536b261f330,
S_prof_input06_cd,profile,fixtures/inputs/input06.wav,-14.0,-1.0,-16.342823028564453,-16.342823959014726,-16.3,-0.9999799728393555,-1.0039265003613473,-1.0,3.1276063919067383,3.1028754696977394,-0.00392650036134734,-2.3428239590147264,-9.30450273273209e-07,-0.003946527521991872,-0.024730922208998862,17.714138505433628,13.40786429767439,8.137061124344985,0.7694567302298875,-8.837507186278467,0,157,1.1208726167678833,44100,PCM_16,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,c8059b495a9efa08d611ef8560d3d926187fc8c99e2fc0169ddaaf12fe8a6e71,
S_prof_input06_custom-6,profile,fixtures/inputs/input06.wav,-6.0,-1.0,-16.34694480895996,-16.346945676902898,-16.4,-0.9999991059303284,-1.0039738198728105,-1.0,3.1276590824127197,3.1028761635002216,-0.003973819872810536,-10.346945676902898,-8.679429370772596e-07,-0.0039747139424821665,-0.024782918912498175,17.72136146548508,13.411910842458386,8.13705608001358,0.7694567670172056,-8.837507925046237,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,0f96302e62f3c0bf853c5601968c81074874de5aa86486ae104fce3fee23b2ce,
S_prof_input06_custom-9,profile,fixtures/inputs/input06.wav,-9.0,-1.0,-16.34694480895996,-16.346945676902898,-16.4,-0.9999991059303284,-1.0039738198728105,-1.0,3.1276590824127197,3.1028761635002216,-0.003973819872810536,-7.346945676902898,-8.679429370772596e-07,-0.0039747139424821665,-0.024782918912498175,17.72136146548508,13.411910842458386,8.13705608001358,0.7694567670172056,-8.837507925046237,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,0f96302e62f3c0bf853c5601968c81074874de5aa86486ae104fce3fee23b2ce,
S_prof_input06_loud-rock,profile,fixtures/inputs/input06.wav,-10.5,-1.0,-16.34694480895996,-16.346945676902898,-16.4,-0.9999991059303284,-1.0039738198728105,-1.0,3.1276590824127197,3.1028761635002216,-0.003973819872810536,-5.846945676902898,-8.679429370772596e-07,-0.0039747139424821665,-0.024782918912498175,17.72136146548508,13.411910842458386,8.13705608001358,0.7694567670172056,-8.837507925046237,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,0f96302e62f3c0bf853c5601968c81074874de5aa86486ae104fce3fee23b2ce,
S_prof_input06_vinyl-premaster,profile,fixtures/inputs/input06.wav,-18.0,-3.0,-18.0,-17.99999977932942,-18.0,-4.327616214752197,-4.332464533178932,-4.3,3.0985190868377686,3.097682243391084,-1.332464533178932,2.206705786989005e-07,2.206705786989005e-07,-0.004848318426734721,-0.0008368434466845542,16.032326149910723,11.73629255796422,8.130356673425513,0.7693111920354833,-8.834434518092548,0,,,48000,PCM_24,True,0.0,,"['dynamic_range_low', 'comp_density_on_compressed_source']",-21.68967628479004,-5.8954033851623535,3.203256845474243,d415c29649a67b87c7c7dc1d9a0f3e3f5047c105cb5c90dd050fa49d9f3f2e56,
S_rate_input02_48k,rate,audit-output/variants/input02_48k.wav,-14.0,-1.0,-14.0,-13.999999691938164,-14.0,-3.3857669830322266,-3.3864808186927178,-3.4,10.443105697631836,10.488387522706216,-2.3864808186927178,3.0806183559661804e-07,3.0806183559661804e-07,-0.0007138356604912133,0.04528182507437961,13.028763235124117,6.020777825609038,15.657966258861427,0.22913691155605695,-1.9973546374253681,0,130,1.339884877204895,48000,PCM_24,True,0.0,,['export_ok'],-17.05976104736328,-0.9799061417579651,12.061410903930664,3b5600aeadaf0fe86acf529d1081ea6cc087f6d06e139f9e40a004236b6ad8f7,
S_rate_input02_96k,rate,audit-output/variants/input02_96k.wav,-14.0,-1.0,-14.0,-13.999999975279739,-14.0,-3.3819797039031982,-3.389514085053235,-3.4,10.444388389587402,10.486892778815342,-2.389514085053235,2.4720261393440524e-08,2.4720261393440524e-08,-0.007534381150036573,0.042504389227939754,13.025967818381268,6.01606180147204,15.664672367219424,0.22870654286499964,-1.9934840071435782,1,,,48000,PCM_24,True,0.0,,['export_ok'],-17.081270217895508,-0.9854756593704224,12.061502456665039,beae1c3d8cbee45381d1f5d6708794f3f02719dd05f72f83a821baaf13ee0dec,
S_rate_input04_48k,rate,audit-output/variants/input04_48k.wav,-14.0,-1.0,-13.995748519897461,-13.995748791460128,-14.0,-4.237985610961914,-4.114713970918008,-3.7,7.462738990783691,7.525211474741139,-3.1147139709180083,0.004251208539871598,-2.71562667464309e-07,0.12327164004390578,0.06247248395744798,11.570333987365657,7.728121994247144,25.702882853510754,0.9001414875477611,-12.793494866264204,0,141,1.2698414325714111,48000,PCM_24,True,0.0,,['export_ok'],-16.12257194519043,0.10498803853988647,8.34772777557373,b1794fda1606bab0e18160a58c7af7ff3db84805dfd5cdd6295be5697b4bd4be,
S_rate_input04_96k,rate,audit-output/variants/input04_96k.wav,-14.0,-1.0,-14.0,-13.99999962316936,-14.0,-3.514733076095581,-3.508461921820185,-3.4,7.483500003814697,7.523745618791654,-2.508461921820185,3.768306395812715e-07,3.768306395812715e-07,0.006271154275395929,0.040245614976957,12.20435429371191,8.29793770006196,25.72243369314604,0.8988738891068552,-12.735788187605898,0,,,48000,PCM_24,True,0.0,,['export_ok'],-16.1442813873291,0.1259811669588089,8.347833633422852,1c1db114db8fd7a0751753ce73fc916106ee88eb1ce2eff4aca445614dfa66ce,
S_rate_input06_48k,rate,audit-output/variants/input06_48k.wav,-14.0,-1.0,-16.345380783081055,-16.34537987980688,-16.4,-0.9999991059303284,-1.0039462715544356,-1.0,3.128251075744629,3.103346822008877,-0.00394627155443561,-2.345379879806881,9.032741736803018e-07,-0.003947165624107241,-0.02490425373575178,17.721491902376762,13.410490117235629,8.142214341694114,0.7693921375135937,-8.836078416755813,0,171,1.1214869022369385,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.693391799926758,-5.889286994934082,3.203310012817383,dabb47d5f1f2390096d23df9f27ca3d8e9e89596d1c6a0a7461b815316e4613f,
S_rate_input06_96k,rate,audit-output/variants/input06_96k.wav,-14.0,-1.0,-16.33991241455078,-16.339912333975924,-16.3,-0.9999997019767761,-1.0018045251137435,-1.0,3.1311542987823486,3.1039474112979217,-0.0018045251137435159,-2.3399123339759242,8.057485700874167e-08,-0.0018048231369673928,-0.0272068874844269,17.724655529557705,13.407582949971143,8.13996438880954,0.7690385284587419,-8.828242159448859,0,,,48000,PCM_24,True,0.0,,"['streaming_headroom_low', 'target_not_reached', 'dynamic_range_low', 'comp_density_on_compressed_source']",-21.714588165283203,-5.889620780944824,3.2035250663757324,1951a47075ef5114a8d264ca39e0bbd81059bbc32dd883af2ca4aa344ac96795,
