label,file,sha256,sample_rate,bits,frames,duration_seconds,channels,lufs,lra_lu,true_peak_dbtp,sample_peak_dbfs,rms_dbfs,crest_db,samples_at_or_beyond_full_scale,near_full_scale_sample_count,active_block_p95_p10_db,active_block_crest_median_db,active_block_crest_p10_db,active_block_crest_p90_db,side_to_mid_db,lr_correlation,analysis_rms_dbfs,lufs_delta_from_original,side_to_mid_delta_db
Original,It’s a coat-original-test.wav,0b39d396856d38c0d927986e0bb45058e7a92c378dac4bcf27ddcf1552e651c9,44100,16,10785095,244.55997732426303,2,-12.3,4.1,-1.9,-1.9881773599056751,-14.704120537763002,12.715943177857326,0,0,6.4591133091527055,10.781849096015584,9.139201632153645,13.895598823600904,-8.108599627391671,0.732450751415623,-14.704120537763002,0.0,0.0
YES Universal 75,It_s_a_coat-original-test_YESmaster_mastered_universal intensity75.wav,639ac1dd5d049040d8b689636c08bf2890b39929b72601703d1b93938f6022ce,48000,24,11738879,244.55997916666666,2,-9.0,3.1,-2.6,-2.6481457357375375,-11.59802061221914,8.949874876481601,0,0,4.810075883856886,8.621552296821427,7.398172705075294,11.66278695690298,-7.253296776247165,0.6833501777260184,-11.595915092928513,3.3000000000000007,0.855302851144506
LANDR Balanced High,LANDR-It’s a coat-original-test-Balanced-High.wav,10c296b517cfb3da3242ea5335fd6731a7251d2f6fe3d0d99bb8abc30f08e0d9,44100,16,10785095,244.55997732426303,2,-9.4,3.8,-0.3,-0.29987795403493217,-11.685112646248355,11.385234692213423,0,0,6.307445410393742,10.858119938635944,9.332693491048545,14.12025632715314,-9.215631760815917,0.7861826840872753,-11.685112646248355,2.9000000000000004,-1.1070321334242461
LANDR Open High,LANDR-It’s a coat-original-test-Open-High.wav,54125b1896cc9c009f95d936f86012dee2235ea45a72d338a030777f8fc3da18,44100,16,10785095,244.55997732426303,2,-9.5,3.9,-0.3,-0.29987795403493217,-11.93978186471594,11.639903910681008,0,0,6.1482859094101325,11.214991518074143,9.702415132595869,14.176440987648373,-8.910545297426832,0.7724009929716148,-11.93978186471594,2.8000000000000007,-0.8019456700351615
LANDR Warm High,LANDR-It’s a coat-original-test-Warm-High.wav,c656d31283e76f650ef453d4a9e6afcea4f526fb192d897a59e45ce7e189918c,44100,16,10785095,244.55997732426303,2,-9.5,3.9,-0.3,-0.29987795403493217,-11.367165269283772,11.06728731524884,0,0,6.920737903141367,10.467597067356223,8.966569814020945,13.792406665990361,-9.351841317962569,0.7920816232441649,-11.367165269283772,2.8000000000000007,-1.2432416905708976
