label,file,sha256,sample_rate,bits,frames,duration_seconds,channels,lufs,lra_lu,true_peak_dbtp,sample_peak_dbfs,rms_dbfs,crest_db,samples_at_or_beyond_full_scale,near_full_scale_sample_count,active_block_p95_p10_db,active_block_crest_median_db,active_block_crest_p10_db,active_block_crest_p90_db,side_to_mid_db,lr_correlation,analysis_rms_dbfs,lufs_delta_from_original,side_to_mid_delta_db,peak_at_minus14_lufs_dbtp
Compressor On,YES-compressor-on.wav,639ac1dd5d049040d8b689636c08bf2890b39929b72601703d1b93938f6022ce,48000,24,11738879,244.55997916666666,2,-9.0,3.1,-2.6,-2.6481457357375375,-11.59802061221914,8.949874876481601,0,0,4.810075883856886,8.621552296821427,7.398172705075294,11.66278695690298,-7.253296776247165,0.6833501777260184,-11.595915092928513,3.3000000000000007,0.855302851144506,-7.6
Compressor Off,YES-compressor-off.wav,d33c8cae3238161a8d7f812884c2137d980189485b3618def8af93a8baab6ea5,48000,24,11738879,244.55997916666666,2,-9.0,3.6,-2.1,-2.179740006985903,-11.59625568881137,9.416515681825466,0,0,5.336221261864845,9.10337168360125,7.69989923360895,12.285720141795856,-7.252302969947787,0.6832952013136855,-11.594137990861979,3.3000000000000007,0.8562966574438837,-7.1
