variant,LUFS,LRA,true_peak_dbtp,crest_db,max_GR_low,max_GR_mid,max_GR_high,landing_db,sha256
off_baseline,-9.0,3.609114408493042,-2.1006197929382324,9.416517041418842,0.0,0.0,0.0,-1.126451015472412,d33c8cae3238161a8d7f812884c2137d980189485b3618def8af93a8baab6ea5
off_no_limit,-9.339470863342285,3.843379020690918,-0.9999997019767761,10.92168804606743,0.0,0.0,0.0,-1.6942884922027588,7c9a008c764149a0e49fd575fb746bd084f28d38245ae479243ff4e297730b4e
off_no_sat,-10.070557594299316,4.012655258178711,-0.9999997019767761,11.628757904197633,0.0,0.0,0.0,0.05514347553253174,94ad739592141f473a41cdaa5c40e40d3ef96ba409245396321e714f4d675921
off_no_sat_no_limit,-12.641281127929688,4.14359188079834,-1.000000238418579,14.194534754982167,0.0,0.0,0.0,-2.6527276039123535,810ff9658bccd7587dda319a29a2ed95f45528a511a58c33c71ed7d9da24175f
on_baseline,-9.0,3.1385011672973633,-2.6157755851745605,8.949875943124662,1.25,0.3400000035762787,0.0,-1.6254096031188965,639ac1dd5d049040d8b689636c08bf2890b39929b72601703d1b93938f6022ce
on_no_limit,-9.175728797912598,3.721731424331665,-0.9999997019767761,10.744052688928896,1.25,0.3400000035762787,0.0,-2.3590455055236816,c004c96407a4a3a69ec5488267effaba21c92784c2bb607e168d46dd264c0b1e
on_no_sat,-9.556364059448242,3.3898797035217285,-1.0000014305114746,11.137094781072852,1.25,0.3400000035762787,0.0,0.04072427749633789,0779a596c02acc0ef077147950e3b539634fc4218911a2ccb8171307cb78249b
on_no_sat_no_limit,-14.294050216674805,4.099288463592529,-0.9999997019767761,15.737832690114892,1.25,0.3400000035762787,0.0,-5.264529228210449,e37c192161059b2721dfc9140a9b0ec43d838bd94106d22cb492d9ded8223668
density25_adapt0,-8.999999046325684,3.230924129486084,-2.4654541015625,9.014422452891594,0.6499999761581421,0.05999999865889549,0.0,-1.463625431060791,7a532b42ce7ec7b92132b6efa44308758aba83b633e1fefbd1fd8901894bdf39
density25_adapt100,-8.999999046325684,3.4625587463378906,-2.104355812072754,9.447468080577378,0.03999999910593033,0.0,0.0,-1.089059829711914,e3b940e49e0c612abaf76ffc1819f597e25918ec38db9ee7c2061108d588da34
density25_adapt50,-8.999999046325684,3.397345781326294,-2.2133517265319824,9.341437027621266,0.18000000715255737,0.0,0.0,-1.2029757499694824,dbdadd8538b12e24cd988d9c8dd4cb41cbb15283a31cef98de6932a595fedc71
density50_adapt0,-9.0,2.6184821128845215,-2.999420404434204,8.55366785109304,3.049999952316284,1.6299999952316284,0.3499999940395355,-2.0506715774536133,04da3c3ed50db2bbf13c149d673ade1e993979e946d5fcb12ed08f4c63880a35
density50_adapt100,-8.999999046325684,3.3546266555786133,-2.274838924407959,9.283323879560983,0.30000001192092896,0.0,0.0,-1.2673087120056152,409a85e624ec6697a61a3ba9c58f5d779e6da0afac181451eb395ca1710a1567
density75_adapt0,-9.0,2.357491970062256,-3.2511653900146484,8.43263076364556,4.659999847412109,2.7799999713897705,0.9200000166893005,-2.3253579139709473,7a660d69a03619ea981f516c2ada1e21b7bb2eacb36b97a6ebfd2d0c72106a9e
density75_adapt100,-8.999999046325684,3.2174901962280273,-2.514977216720581,9.04659088388297,0.9300000071525574,0.18000000715255737,0.0,-1.5191807746887207,ebb4396cadbb5249beaf37081581e42f3a25618824d94d10f3e1f8e49e2eb3d8
density75_adapt50,-9.0,2.729336977005005,-2.957535982131958,8.660317340402017,2.9700000286102295,1.649999976158142,0.36000001430511475,-2.0091419219970703,8de8f415c60e01c6c6fa2f370187844e2a1aa04ed0c0caede42bf6b5d7061d19
input_minus3,-9.471234321594238,3.896002769470215,-1.000000238418579,11.021991685712006,0.5600000023841858,0.019999999552965164,0.0,0.04265165328979492,a5e300a4a59e5422f84c75792460e96459395a35f5a096d23bb1f3fb34b31d23
input_minus6,-12.175043106079102,4.030682563781738,-1.000000238418579,13.713014900944005,0.10999999940395355,0.0,0.0,0.09999895095825195,949955bb98eb5cf128f6e2c6dc3c7bf38bfd20c8be5712de789bc518c28f0939
